Date,Portfolio_Value,Strategy
2025-06-09,819059.430979979,LONG_STOCK
2025-06-10,867133.7676022607,LONG_STOCK
2025-06-11,845305.1575821438,LONG_STOCK
2025-06-12,844482.9658013219,LONG_STOCK
2025-06-13,821201.2338346584,LONG_STOCK
2025-06-17,801761.8239294951,LONG_STOCK
2025-06-18,789887.5332886293,LONG_STOCK
2025-06-19,793275.1183063512,LONG_STOCK
2025-06-23,739484.3720662899,LONG_STOCK
2025-06-24,777795.8961586358,LONG_STOCK
2025-06-25,767101.576779385,LONG_STOCK
2025-06-26,769213.8480697385,LONG_STOCK
2025-06-27,764196.1260657151,LONG_STOCK
2025-06-30,743404.7188428009,LONG_STOCK
2025-07-01,757994.8136794713,LONG_STOCK
2025-07-02,762739.9042053836,LONG_STOCK
2025-07-03,766168.5851135167,LONG_STOCK
2025-07-04,764057.654947792,LONG_STOCK
2025-07-07,750608.569786378,LONG_STOCK
2025-07-08,777868.2689912827,LONG_STOCK
2025-07-10,751104.4027205672,LONG_STOCK
2025-07-11,723736.4555991952,LONG_STOCK
2025-07-14,732869.6503496503,LONG_STOCK
2025-07-15,732184.4448701983,LONG_STOCK
2025-07-16,708875.3156432608,LONG_STOCK
2025-07-17,735970.6312865218,LONG_STOCK
2025-07-18,732269.3189002778,LONG_STOCK
2025-07-21,720836.6146182586,LONG_STOCK
2025-07-22,718613.3556854104,LONG_STOCK
2025-07-23,745699.3562601781,LONG_STOCK
2025-07-24,782619.1282689912,LONG_STOCK
2025-07-25,801319.8218220136,LONG_STOCK
2025-07-28,795644.2628604273,LONG_STOCK
2025-07-29,824055.9881214675,LONG_STOCK
2025-07-30,825894.2868090813,LONG_STOCK
2025-07-31,827732.585496695,LONG_STOCK
2025-08-01,801563.2397739247,LONG_STOCK
2025-08-04,798604.3356643356,LONG_STOCK
2025-08-05,821391.5183446691,LONG_STOCK
2025-08-06,849803.2436057094,LONG_STOCK
2025-08-07,816471.0278762333,LONG_STOCK
2025-08-08,807065.720854488,LONG_STOCK
2025-08-11,803695.8578407894,LONG_STOCK
2025-08-12,814995.5991953252,LONG_STOCK
2025-08-13,808140.9196283169,LONG_STOCK
2025-08-14,753897.3541526967,LONG_STOCK
2025-08-18,739175.6375131718,LONG_STOCK
2025-08-19,694668.3092250216,LONG_STOCK
2025-08-20,689088.9433853818,LONG_STOCK
2025-08-21,694799.7585975669,LONG_STOCK
2025-08-22,686436.8885908613,LONG_STOCK
2025-08-25,641644.5713190918,LONG_STOCK
2025-08-26,626233.8997988314,LONG_STOCK
2025-08-27,592723.8758501773,LONG_STOCK
2025-08-28,584292.5126927868,LONG_STOCK
2025-08-29,573406.412491618,LONG_STOCK
2025-09-01,555434.097135741,LONG_STOCK
2025-09-02,584833.4648912732,LONG_STOCK
2025-09-03,565363.9754765783,LONG_STOCK
2025-09-04,598959.1474279147,LONG_STOCK
2025-09-05,600372.7885812818,LONG_STOCK
2025-09-08,440029.1579653224,LONG_STOCK
2025-09-09,422698.66653894057,LONG_STOCK
2025-09-10,461997.83312577836,LONG_STOCK
2025-09-11,447838.8523804962,LONG_STOCK
2025-09-12,431008.69623527164,LONG_STOCK
2025-09-15,413611.0527828336,LONG_STOCK
2025-09-16,431327.78810230875,LONG_STOCK
2025-09-17,425823.4294472651,LONG_STOCK
2025-09-18,395007.2593160266,LONG_STOCK
2025-09-19,378983.25318517105,LONG_STOCK
2025-09-22,447436.55330970406,LONG_STOCK
2025-09-23,427699.6053261807,LONG_STOCK
2025-09-24,440486.10594884574,LONG_STOCK
2025-09-25,398775.98045789823,LONG_STOCK
2025-09-26,405859.0343902674,LONG_STOCK
2025-09-29,410868.9376377048,LONG_STOCK
2025-09-30,389335.45741929323,LONG_STOCK
2025-10-01,379793.1640961778,LONG_STOCK
2025-10-02,399367.4662323978,LONG_STOCK
2025-10-03,403653.31736756396,LONG_STOCK
2025-10-06,400479.2221477154,LONG_STOCK
2025-10-07,395187.5275409523,LONG_STOCK
2025-10-08,401537.3694798353,LONG_STOCK
2025-10-09,466957.29859181924,LONG_STOCK
2025-10-13,469847.53712041397,LONG_STOCK
2025-10-14,434226.30903343245,LONG_STOCK
2025-10-15,447473.2675543636,LONG_STOCK
2025-10-16,454014.6163425617,LONG_STOCK
2025-10-17,467652.3211035541,LONG_STOCK
2025-10-20,470638.4787814926,LONG_STOCK
2025-10-21,484118.3140147525,LONG_STOCK
2025-10-22,509486.26113612426,LONG_STOCK
2025-10-23,524610.9991378486,LONG_STOCK
2025-10-24,541559.940607338,LONG_STOCK
2025-10-27,753410.309416611,LONG_STOCK
2025-10-28,831815.5206437398,LONG_STOCK
2025-10-29,862914.8596608872,LONG_STOCK
2025-10-30,877971.3784845292,LONG_STOCK
2025-10-31,994631.9781588276,LONG_STOCK
2025-11-03,1039882.2339304531,LONG_STOCK
2025-11-04,1022277.0993390172,LONG_STOCK
2025-11-05,985035.3807836002,LONG_STOCK
2025-11-06,965975.480410001,LONG_STOCK
2025-11-07,881300.492384328,LONG_STOCK
2025-11-10,899319.9386914457,LONG_STOCK
2025-11-11,888170.1542293323,LONG_STOCK
2025-11-12,895726.1461825848,LONG_STOCK
2025-11-13,840358.773828911,LONG_STOCK
2025-11-14,852316.0494300222,LONG_STOCK
2025-11-17,813181.8794903726,LONG_STOCK
2025-11-18,801225.9450138904,LONG_STOCK
2025-11-19,764794.4860618834,LONG_STOCK
2025-11-20,762686.295622186,LONG_STOCK
2025-11-21,718620.0632244468,LONG_STOCK
2025-11-25,782226.2323977393,LONG_STOCK
2025-11-26,833262.1553788678,LONG_STOCK
2025-11-27,835964.138327426,LONG_STOCK
2025-11-28,844356.417281349,LONG_STOCK
2025-12-01,853828.0908132964,LONG_STOCK
2025-12-02,841979.0056518824,LONG_STOCK
2025-12-03,866474.3787719131,LONG_STOCK
2025-12-04,834266.1212759842,LONG_STOCK
2025-12-05,805581.7645368332,LONG_STOCK
2025-12-09,777174.0626496791,LONG_STOCK
2025-12-10,776675.4325126928,LONG_STOCK
2025-12-11,755200.521122713,LONG_STOCK
2025-12-12,756045.6978637801,LONG_STOCK
2025-12-15,773554.8845674873,LONG_STOCK
2025-12-16,802923.4447744037,LONG_STOCK
2025-12-17,815470.4320337197,LONG_STOCK
2025-12-18,886034.7198007475,LONG_STOCK
2025-02-21,1000000.0,SHORT_STOCK
2025-02-24,1013325.797490181,SHORT_STOCK
2025-02-25,1025199.5401858416,SHORT_STOCK
2025-02-26,1005042.4370150397,SHORT_STOCK
2025-02-27,1050646.9968387776,SHORT_STOCK
2025-02-28,1036029.5047418335,SHORT_STOCK
2025-03-05,1005175.4286809082,SHORT_STOCK
2025-03-06,1021436.7563942906,SHORT_STOCK
2025-03-07,1026290.0948366702,SHORT_STOCK
2025-03-10,1087003.956317655,SHORT_STOCK
2025-03-11,1077898.6780342944,SHORT_STOCK
2025-03-12,1019910.84395057,SHORT_STOCK
2025-03-13,1026299.7700929207,SHORT_STOCK
2025-03-14,983751.3459143596,SHORT_STOCK
2025-03-17,994289.8036210366,SHORT_STOCK
2025-03-18,1023152.2425519685,SHORT_STOCK
2025-03-19,974995.7141488647,SHORT_STOCK
2025-03-20,1003721.1667784271,SHORT_STOCK
2025-03-21,966876.7372353673,SHORT_STOCK
2025-03-25,954944.1766452725,SHORT_STOCK
2025-03-26,979583.4141201265,SHORT_STOCK
2025-03-27,1004058.2680333365,SHORT_STOCK
2025-03-28,1004888.4050196379,SHORT_STOCK
2025-03-31,1028168.7958616725,SHORT_STOCK
2025-04-01,1016375.9038222053,SHORT_STOCK
2025-04-03,1042975.9344764824,SHORT_STOCK
2025-04-04,1131800.1513554938,SHORT_STOCK
2025-04-07,1173180.1685985248,SHORT_STOCK
2025-04-08,1162772.4533001245,SHORT_STOCK
2025-04-09,1060234.5799406073,SHORT_STOCK
2025-04-10,1104635.058913689,SHORT_STOCK
2025-04-11,1028862.666922119,SHORT_STOCK
2025-04-14,962220.2682249257,SHORT_STOCK
2025-04-15,1006544.0348692404,SHORT_STOCK
2025-04-16,1055137.578312099,SHORT_STOCK
2025-04-21,1091825.9584251365,SHORT_STOCK
2025-04-22,1031227.2229140722,SHORT_STOCK
2025-04-23,990036.5782163042,SHORT_STOCK
2025-04-24,990793.0165724686,SHORT_STOCK
2025-04-25,987446.5274451575,SHORT_STOCK
2025-04-28,1015333.681387106,SHORT_STOCK
2025-04-29,1035629.1694606764,SHORT_STOCK
2025-04-30,1050512.443720663,SHORT_STOCK
2025-05-05,1084677.5936392373,SHORT_STOCK
2025-05-06,1068771.0891847878,SHORT_STOCK
2025-05-07,1111537.350320912,SHORT_STOCK
2025-05-08,1106847.0543155475,SHORT_STOCK
2025-05-09,1116060.580515375,SHORT_STOCK
2025-05-12,1047115.4708305394,SHORT_STOCK
2025-05-13,1045085.6652936104,SHORT_STOCK
2025-05-14,1055752.5874125874,SHORT_STOCK
2025-05-15,1065048.305393237,SHORT_STOCK
2025-05-16,1049013.0338154996,SHORT_STOCK
2025-05-19,1037410.5814733212,SHORT_STOCK
2025-05-20,1036847.596513076,SHORT_STOCK
2025-05-21,1061309.0257687517,SHORT_STOCK
2025-05-22,1067725.3491713766,SHORT_STOCK
2025-05-23,1050270.380304627,SHORT_STOCK
2025-05-26,1052490.380304627,SHORT_STOCK
2025-05-27,1068676.365552256,SHORT_STOCK
2025-05-28,1082003.7781396685,SHORT_STOCK
2025-05-29,1106656.7142446595,SHORT_STOCK
2025-05-30,1107396.4402720567,SHORT_STOCK
2025-06-02,1134585.785994827,SHORT_STOCK
2025-06-03,1132501.1859373502,SHORT_STOCK
2025-06-04,1178050.9512405402,SHORT_STOCK
2025-06-05,1174663.3662228184,SHORT_STOCK
2025-06-06,1158729.1905354918,SHORT_STOCK
2025-06-09,1180940.569020021,SHORT_STOCK
2025-06-10,1132866.2323977393,SHORT_STOCK
2025-06-11,1154694.8424178562,SHORT_STOCK
2025-06-12,1155517.034198678,SHORT_STOCK
2025-06-13,1178798.7661653415,SHORT_STOCK
2025-06-17,1198238.1760705048,SHORT_STOCK
2025-06-18,1210112.4667113707,SHORT_STOCK
2025-06-19,1206724.8816936489,SHORT_STOCK
2025-06-23,1260515.62793371,SHORT_STOCK
2025-06-24,1222204.1038413642,SHORT_STOCK
2025-06-25,1232898.4232206151,SHORT_STOCK
2025-06-26,1230786.1519302616,SHORT_STOCK
2025-06-27,1235803.873934285,SHORT_STOCK
2025-06-30,1256595.281157199,SHORT_STOCK
2025-07-01,1242005.1863205289,SHORT_STOCK
2025-07-02,1237260.0957946165,SHORT_STOCK
2025-07-03,1233831.4148864835,SHORT_STOCK
2025-07-04,1235942.345052208,SHORT_STOCK
2025-07-07,1249391.430213622,SHORT_STOCK
2025-07-08,1222131.7310087173,SHORT_STOCK
2025-07-10,1248895.597279433,SHORT_STOCK
2025-07-11,1276263.5444008047,SHORT_STOCK
2025-07-14,1267130.3496503497,SHORT_STOCK
2025-07-15,1267815.5551298019,SHORT_STOCK
2025-07-16,1291124.6843567393,SHORT_STOCK
2025-07-17,1264029.3687134783,SHORT_STOCK
2025-07-18,1267730.6810997222,SHORT_STOCK
2025-07-21,1279163.3853817414,SHORT_STOCK
2025-07-22,1281386.6443145894,SHORT_STOCK
2025-07-23,1254300.6437398219,SHORT_STOCK
2025-07-24,1217380.8717310086,SHORT_STOCK
2025-07-25,1198680.1781779863,SHORT_STOCK
2025-07-28,1204355.7371395729,SHORT_STOCK
2025-07-29,1175944.0118785326,SHORT_STOCK
2025-07-30,1174105.7131909188,SHORT_STOCK
2025-07-31,1172267.414503305,SHORT_STOCK
2025-08-01,1198436.7602260753,SHORT_STOCK
2025-08-04,1201395.6643356644,SHORT_STOCK
2025-08-05,1178608.4816553309,SHORT_STOCK
2025-08-06,1150196.7563942906,SHORT_STOCK
2025-08-07,1183528.9721237666,SHORT_STOCK
2025-08-08,1192934.279145512,SHORT_STOCK
2025-08-11,1196304.1421592105,SHORT_STOCK
2025-08-12,1185004.4008046747,SHORT_STOCK
2025-08-13,1191859.0803716832,SHORT_STOCK
2025-08-14,1246102.6458473033,SHORT_STOCK
2025-08-18,1260824.3624868284,SHORT_STOCK
2025-08-19,1305331.6907749786,SHORT_STOCK
2025-08-20,1310911.0566146183,SHORT_STOCK
2025-08-21,1305200.2414024333,SHORT_STOCK
2025-08-22,1313563.1114091387,SHORT_STOCK
2025-08-25,1358355.428680908,SHORT_STOCK
2025-08-26,1373766.1002011686,SHORT_STOCK
2025-08-27,1407276.1241498226,SHORT_STOCK
2025-08-28,1415707.4873072132,SHORT_STOCK
2025-08-29,1426593.5875083818,SHORT_STOCK
2025-09-01,1444565.902864259,SHORT_STOCK
2025-09-02,1415166.535108727,SHORT_STOCK
2025-09-03,1434636.0245234217,SHORT_STOCK
2025-09-04,1401040.8525720856,SHORT_STOCK
2025-09-05,1399627.2114187183,SHORT_STOCK
2025-09-08,1559970.8420346775,SHORT_STOCK
2025-09-09,1577301.3334610595,SHORT_STOCK
2025-09-10,1538002.1668742215,SHORT_STOCK
2025-09-11,1552161.1476195038,SHORT_STOCK
2025-09-12,1568991.3037647284,SHORT_STOCK
2025-09-15,1586388.9472171664,SHORT_STOCK
2025-09-16,1568672.2118976912,SHORT_STOCK
2025-09-17,1574176.570552735,SHORT_STOCK
2025-09-18,1604992.7406839733,SHORT_STOCK
2025-09-19,1621016.7468148288,SHORT_STOCK
2025-09-22,1552563.446690296,SHORT_STOCK
2025-09-23,1572300.3946738192,SHORT_STOCK
2025-09-24,1559513.8940511541,SHORT_STOCK
2025-09-25,1601224.0195421018,SHORT_STOCK
2025-09-26,1594140.9656097328,SHORT_STOCK
2025-09-29,1589131.062362295,SHORT_STOCK
2025-09-30,1610664.5425807068,SHORT_STOCK
2025-10-01,1620206.8359038222,SHORT_STOCK
2025-10-02,1600632.5337676022,SHORT_STOCK
2025-10-03,1596346.682632436,SHORT_STOCK
2025-10-06,1599520.7778522845,SHORT_STOCK
2025-10-07,1604812.4724590478,SHORT_STOCK
2025-10-08,1598462.6305201647,SHORT_STOCK
2025-10-09,1533042.7014081806,SHORT_STOCK
2025-10-13,1530152.462879586,SHORT_STOCK
2025-10-14,1565773.6909665675,SHORT_STOCK
2025-10-15,1552526.7324456365,SHORT_STOCK
2025-10-16,1545985.3836574382,SHORT_STOCK
2025-10-17,1532347.678896446,SHORT_STOCK
2025-10-20,1529361.5212185076,SHORT_STOCK
2025-10-21,1515881.6859852474,SHORT_STOCK
2025-10-22,1490513.7388638756,SHORT_STOCK
2025-10-23,1475389.0008621514,SHORT_STOCK
2025-10-24,1458440.059392662,SHORT_STOCK
2025-10-27,1246589.690583389,SHORT_STOCK
2025-10-28,1168184.47935626,SHORT_STOCK
2025-10-29,1137085.1403391128,SHORT_STOCK
2025-10-30,1122028.6215154708,SHORT_STOCK
2025-10-31,1005368.0218411724,SHORT_STOCK
2025-11-03,960117.7660695468,SHORT_STOCK
2025-11-04,977722.9006609828,SHORT_STOCK
2025-11-05,1014964.6192164,SHORT_STOCK
2025-11-06,1034024.519589999,SHORT_STOCK
2025-11-07,1118699.507615672,SHORT_STOCK
2025-11-10,1100680.0613085544,SHORT_STOCK
2025-11-11,1111829.8457706675,SHORT_STOCK
2025-11-12,1104273.8538174154,SHORT_STOCK
2025-11-13,1159641.226171089,SHORT_STOCK
2025-11-14,1147683.9505699778,SHORT_STOCK
2025-11-17,1186818.1205096273,SHORT_STOCK
2025-11-18,1198774.0549861097,SHORT_STOCK
2025-11-19,1235205.5139381166,SHORT_STOCK
2025-11-20,1237313.704377814,SHORT_STOCK
2025-11-21,1281379.9367755533,SHORT_STOCK
2025-11-25,1217773.7676022607,SHORT_STOCK
2025-11-26,1166737.8446211321,SHORT_STOCK
2025-11-27,1164035.861672574,SHORT_STOCK
2025-11-28,1155643.582718651,SHORT_STOCK
2025-12-01,1146171.9091867036,SHORT_STOCK
2025-12-02,1158020.9943481176,SHORT_STOCK
2025-12-03,1133525.6212280868,SHORT_STOCK
2025-12-04,1165733.8787240156,SHORT_STOCK
2025-12-05,1194418.2354631668,SHORT_STOCK
2025-12-09,1222825.9373503209,SHORT_STOCK
2025-12-10,1223324.5674873071,SHORT_STOCK
2025-12-11,1244799.478877287,SHORT_STOCK
2025-12-12,1243954.30213622,SHORT_STOCK
2025-12-15,1226445.1154325125,SHORT_STOCK
2025-12-16,1197076.5552255963,SHORT_STOCK
2025-12-17,1184529.5679662803,SHORT_STOCK
2025-12-18,1113965.2801992528,SHORT_STOCK
